_id,rollno,schoolname,visualScore,visualTime,audioScore,audioTime,kinestheticScore,kinestheticTime,readWriteScore,readWriteTime,predictedStyle
694134f90ea401e84a5a371b,44,schs,7,508,5,779,1,1067,7,1253,Visual
694134f90ea401e84a5a3722,34,dpsbe,5,1547,11,917,11,1078,3,1333,Auditory
694134f90ea401e84a5a3729,28,nps,0,223,2,938,11,211,8,143,Kinesthetic
694134f90ea401e84a5a3730,21,nps,4,1107,8,1424,2,559,15,944,Read/Write
694134f90ea401e84a5a3737,6,dpsbe,5,990,5,258,0,1168,11,1030,Read/Write
694134f90ea401e84a5a373e,32,schs,0,994,3,1073,11,1368,12,789,Read/Write
694134f90ea401e84a5a3745,9,ryan international school,7,1310,7,459,0,989,9,1029,Read/Write
694134f90ea401e84a5a374c,29,st.vincent pallotti school,12,823,3,1293,9,271,5,372,Visual
694134f90ea401e84a5a3753,7,st.vincent pallotti school,10,292,2,983,10,591,11,1352,Read/Write
694134f90ea401e84a5a375a,43,ryan international school,0,1343,3,860,7,820,2,1472,Kinesthetic
694134f90ea401e84a5a3767,33,nps,5,590,12,95,8,790,0,1073,Auditory
694134f90ea401e84a5a376e,12,dpsbe,11,1691,9,569,2,690,4,1377,Visual
694134f90ea401e84a5a3775,13,lfsh,4,848,12,507,0,875,13,146,Read/Write
694134f90ea401e84a5a377c,50,scts,1,632,11,1272,0,1272,4,943,Auditory
694134f90ea401e84a5a3783,38,scts,15,539,14,897,14,717,12,1439,Visual
694134f90ea401e84a5a378a,30,lfsh,12,1437,13,423,8,1167,1,1286,Auditory
694134f90ea401e84a5a3791,46,ryan international school,10,816,5,807,1,401,8,61,Visual
694134f90ea401e84a5a3798,5,st.vincent pallotti school,10,1469,6,152,13,588,7,417,Kinesthetic
694134f90ea401e84a5a37a5,25,schs,9,1632,1,281,2,450,5,591,Visual
694134f90ea401e84a5a37b2,35,st.vincent pallotti school,5,1783,7,30,10,1498,2,358,Auditory
694134f90ea401e84a5a37b9,22,schs,5,1453,4,845,9,966,4,1097,Kinesthetic
694134f90ea401e84a5a37c0,8,lfsh,8,918,12,913,13,95,7,770,Kinesthetic
694134fa0ea401e84a5a37f2,23,ryan international school,7,1362,1,1295,6,1077,4,1246,Visual
694134fa0ea401e84a5a37ff,2,ryan international school,5,1870,11,689,2,1298,13,1259,Read/Write
694134fa0ea401e84a5a3812,16,dpsbe,7,667,3,346,4,413,0,933,Read/Write
694134fa0ea401e84a5a381f,10,nps,8,1331,4,773,9,617,5,839,Kinesthetic
694134fa0ea401e84a5a382d,48,nps,5,1199,6,396,2,342,2,1417,Read/Write
694134fa0ea401e84a5a3834,18,miranda public school,12,1601,7,447,11,507,12,1120,Read/Write
694134fa0ea401e84a5a383b,40,miranda public school,6,1482,13,300,10,1156,11,179,Auditory
694134fa0ea401e84a5a3842,11,schs,4,1361,1,975,13,802,12,644,Kinesthetic
694134fa0ea401e84a5a3849,41,lfsh,7,1161,2,1200,1,1444,5,106,Visual
694134fa0ea401e84a5a3850,1,ryan international school,11,57,0,364,2,1027,13,1153,Read/Write
694134fa0ea401e84a5a3857,15,schs,1,104,11,293,2,440,14,543,Read/Write
694134fc0ea401e84a5a388f,49,schs,2,156,8,1078,13,451,8,981,Kinesthetic
